# XPDir Gate 1 fixtures - hand-derived, one case per line.
#
# THE CROSS IS THE SIGNAL. A rung votes the cross it just made; the carried
# sign is only the floor it falls back to when no cross sits inside the window.
#
# Rung columns are P,S1,S5,S10,S15,S30,S45 and use this grammar:
#   -    rung absent/disabled (never a vote, not counted in the optional set)
#   nv   rung present, NO_VOTE
#   f:s/f:s/...|age|interval|carried|crossdir|crossage|crosssep
#        the CLOSED-bar series, newest first: index 0 is the bar that just
#        closed and the forming bar is never in it. EMPTY = EMPTY_VALUE, the
#        map's valid flag. age = seconds since that bar opened. The last four
#        are the rung's PERSISTED state going in - carried sign, and the most
#        recent cross as it stands; 'x' = first read ever (0 / 0 / -1 / 0.0).
#
# Equality is not a sign: a tie bar inherits the carried sign, a touch is not a
# cross, and only a strict flip of the carried sign is one.
# crossDir persists; "crossed on this bar" is crossAge == 0.
# Unknown age (-1) is treated as OLD: the rung votes its carried sign,
# STALE_STATE. NO_VOTE is only map warm-up, a stale feed, or sign still zero.
# Polarity: fast above slow = +1 = BUY.
name,min_with,min_against,s1_required,max_stale,cross_max_age,early_sep_mult,require_fresh_s1,P,S1,S5,S10,S15,S30,S45,expect_dir,expect_rule,expect_conflict,expect_p_grade,expect_c1_grade
# ---- grading one cross ------------------------------------------------------
grade_early_age0,2,3,1,3,3,2.0,0,60:50/45:50|300|300|x|x|x|x,60:50/45:50|1|1|x|x|x|x,-,-,-,-,-,BUY,R1,0,EARLY,EARLY
grade_early_by_sep_band,2,3,1,3,3,2.0,0,60:50/45:50|300|300|x|x|x|x,53:50/52:50/45:50|1|1|x|x|x|x,-,-,-,-,-,BUY,R1,0,EARLY,EARLY
grade_fresh_widened,2,3,1,3,3,2.0,0,60:50/45:50|300|300|x|x|x|x,80:50/70:50/55:50/45:50|1|1|x|x|x|x,-,-,-,-,-,BUY,R1,0,EARLY,FRESH
grade_fresh_at_window_edge,2,3,1,3,3,2.0,0,60:50/45:50|300|300|x|x|x|x,80:50/70:50/60:50/55:50/45:50|1|1|x|x|x|x,-,-,-,-,-,BUY,R1,0,EARLY,FRESH
grade_stale_cross_past_window,2,3,1,3,3,2.0,0,60:50/45:50|300|300|x|x|x|x,80:50/70:50/60:50/58:50/56:50/55:50/45:50|1|1|x|x|x|x,-,-,-,-,-,BUY,R1,0,EARLY,STALE_STATE
grade_early_band_wider_mult,2,3,1,3,3,8.0,0,60:50/45:50|300|300|x|x|x|x,80:50/70:50/55:50/45:50|1|1|x|x|x|x,-,-,-,-,-,BUY,R1,0,EARLY,EARLY
# ---- crossAge -1: unknown age is treated as OLD, and still votes -----------
# S1 has never crossed inside anything it has seen. It votes its carried sign,
# graded STALE_STATE - not NO_VOTE. That is the floor doing its job.
unknown_age_votes_state,2,3,1,3,3,2.0,0,60:50/45:50|300|300|x|x|x|x,60:50/59:50/58:50|1|1|x|x|x|x,-,-,-,-,-,BUY,R1,0,EARLY,STALE_STATE
unknown_age_sell_side,2,3,1,3,3,2.0,0,40:50/55:50|300|300|x|x|x|x,40:50/41:50/42:50|1|1|x|x|x|x,-,-,-,-,-,SELL,R1,0,EARLY,STALE_STATE
# ---- equality: a tie inherits, a touch is not a cross ----------------------
# fast touches slow and resumes the SAME side. No cross: the carried sign is
# unchanged, crossAge stays -1, and the vote is STALE_STATE, not a flip.
touch_and_resume_is_not_a_cross,2,3,1,3,3,2.0,0,60:50/45:50|300|300|x|x|x|x,55:50/50:50/55:50|1|1|x|x|x|x,-,-,-,-,-,BUY,R1,0,EARLY,STALE_STATE
# fast touches slow and comes out the OTHER side: the cross is stamped on the
# bar where the new non-zero sign appears, NOT on the touch bar.
touch_then_flip_stamps_on_new_sign,2,3,0,3,3,2.0,0,40:50/55:50|300|300|x|x|x|x,45:50/50:50/55:50|1|1|x|x|x|x,-,-,-,-,-,SELL,R1,0,EARLY,EARLY
# a tie on the newest bar inherits the carried sign and still votes
tie_on_read_bar_inherits,2,3,1,3,3,2.0,0,60:50/45:50|300|300|x|x|x|x,50:50/60:50/45:50|1|1|x|x|x|x,-,-,-,-,-,BUY,R1,0,EARLY,EARLY
# first valid bar is a tie and the sign never resolves -> NO_VOTE
sign_still_zero_is_no_vote,2,3,1,3,3,2.0,0,60:50/45:50|300|300|x|x|x|x,50:50/50:50/50:50|1|1|x|x|x|x,-,-,-,-,-,NONE,-,0,EARLY,-
# ---- crossDir persists across reads ----------------------------------------
# Going in, the rung already carries a cross DOWN at age 2. Two more quiet
# bars age it to 4, past the window, so it falls to STALE_STATE - still SELL.
persisted_cross_ages_out,2,3,0,3,3,2.0,0,40:50/41:50|300|300|-1|-1|2|-5.0,45:50/46:50|1|1|-1|-1|2|-5.0,-,-,-,-,-,SELL,R1,0,STALE_STATE,STALE_STATE
# Same persisted cross, one bar newer only: still inside the window.
persisted_cross_still_fresh,2,3,0,3,3,2.0,0,80:50/70:50|300|300|1|1|0|5.0,20:50|1|1|-1|-1|1|-5.0,-,-,-,-,-,NONE,-,0,FRESH,FRESH
# ---- ageing disabled: pure-colour baseline ---------------------------------
ageing_off_all_stale,2,3,1,3,0,2.0,0,60:50/45:50|300|300|x|x|x|x,60:50/45:50|1|1|x|x|x|x,-,-,-,-,-,BUY,R1,0,STALE_STATE,STALE_STATE
ageing_off_sign_zero_still_nv,2,3,1,3,0,2.0,0,60:50/45:50|300|300|x|x|x|x,50:50/50:50|1|1|x|x|x|x,-,-,-,-,-,NONE,-,0,STALE_STATE,-
# ---- InpDirRequireFreshS1: a condition on the rules that need C1 == X ------
